s,d__001,d__002,d__010
NSE:RAJRAYON,,RAJRAYON,RAJ RAYON INDUSTRI
NSE:BAJFINANCE,bajaj-finance,BAJFINANCE,BAJAJ FINANCE LTD
NSE:MIRCELECTR,,MIRCELECTR,MIRC ELECTRONICS
NSE:BURGERKING,,BURGERKING,BURGER KING INDIA LTD
NSE:RIIL,,RIIL,RELIANCE IND INFRA
NSE:SUNPHARMA,sun-pharmaceutical,SUNPHARMA,SUN PHARMACEUTICAL
NSE:AUBANK,,AUBANK,AU SMALL FINANCE B
NSE:PEL,piramal,PEL,PIRAMAL ENTERPRISE
NSE:ROLTA,,ROLTA,ROLTA INDIA
NSE:BANKINDIA,bank-of-india,BANKINDIA,BK OF INDIA
NSE:CONFIPET,,CONFIPET,CONFIDENCE PETRO IND LTD.
NSE:SREINFRA,,SREINFRA,SREI INFRASTRUCTUR
NSE:HDFCBANK,hdfc-bank,HDFCBANK,HDFC BANK
NSE:LGBBROSLTD,,LGBBROSLTD,LG BALAKRISHNA & B
NSE:BPCL,bharat-petroleum,BPCL,BHARAT PETROL CORP
NSE:EASEMYTRIP,,EASEMYTRIP,EASY TRIP PLANNERS LTD
NSE:RAILTEL,,RAILTEL,RAILTEL CORP OF IND LTD
NSE:CIPLA,cipla,CIPLA,CIPLA LTD
NSE:BIOCON,biocon,BIOCON,BIOCON LTD
NSE:ZEELEARN,,ZEELEARN,ZEE LEARN LTD
NSE:TCS,tata,TCS,TATA CONSULTANCY S
NSE:HINDZINC,hindustan-zinc,HINDZINC,HINDUSTAN ZINC
NSE:CANFINHOME,can-fin-homes,CANFINHOME,CANFIN HOMES
NSE:EDELWEISS,edelweiss-fin-serv,EDELWEISS,EDELWEISS FIN SERV
NSE:PRAKASH,,PRAKASH,PRAKASH INDUSTRIES
NSE:PILITA,,PILITA,PIL ITALICA LIFEST
NSE:ASTERDM,aster-dm-healthcare,ASTERDM,ASTER DM HEALTHCAR
NSE:BHARATFORG,bharat-forge,BHARATFORG,BHARAT FORGE
NSE:IGL,indraprastha-gas,IGL,INDRAPRASTHA GAS
NSE:MANAPPURAM,manappuram-finance,MANAPPURAM,MANAPPURAM FINANCE
NSE:DBREALTY,,DBREALTY,DB REALTY LTD
NSE:SNOWMAN,,SNOWMAN,SNOWMAN LOGISTICS
NSE:FORTIS,fortis-healthcare,FORTIS,FORTIS HLTH (INDIA
NSE:RELIGARE,,RELIGARE,RELIGARE ENTERPRIS
